Species	Strains	Abbreviation	Accession	Genome_size	GC content (%)	Complete 	Download	Reference	Reference_link	Note.
Fusarium asiaticum	170907	NeFa170907	MN935294.1	89970	31.68	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935294.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170888	NeFa170888	MN935293.1	94533	31.64	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935293.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170880	NeFa170880	MN935292.1	93294	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935292.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170876	NeFa170876	MN935291.1	94922	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935291.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170867	NeFa170867	MN935290.1	91966	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935290.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170827	NeFa170827	MN935289.1	93349	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935289.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170824	NeFa170824	MN935288.1	94914	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935288.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170792	NeFa170792	MN935287.1	94912	31.57	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935287.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170789	NeFa170789	MN935286.1	93296	31.59	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935286.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170788	NeFa170788	MN935285.1	94927	31.59	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935285.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170784	NeFa170784	MN935284.1	93295	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935284.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170767	NeFa170767	MN935283.1	91301	31.66	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935283.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170765	NeFa170765	MN935282.1	93295	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935282.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170728	NeFa170728	MN935281.1	91964	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935281.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170726	NeFa170726	MN935280.1	94865	31.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935280.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170719	NeFa170719	MN935279.1	90020	31.71	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935279.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170706	NeFa170706	MN935278.1	93294	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935278.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170705	NeFa170705	MN935277.1	93294	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935277.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170677	NeFa170677	MN935276.1	92016	31.63	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935276.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170665	NeFa170665	MN935275.1	93294	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935275.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170631	NeFa170631	MN935274.1	94861	31.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935274.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170630	NeFa170630	MN935273.1	93293	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935273.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170566	NeFa170566	MN935272.1	91966	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935272.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170545	NeFa170545	MN935271.1	94872	31.56	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935271.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170542	NeFa170542	MN935270.1	90023	31.71	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935270.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170464	NeFa170464	MN935269.1	91964	31.6	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935269.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170460	NeFa170460	MN935268.1	93347	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935268.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170431	NeFa170431	MN935267.1	92015	31.63	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935267.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170430	NeFa170430	MN935266.1	93293	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935266.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170383	NeFa170383	MN935265.1	90019	31.71	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935265.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170382	NeFa170382	MN935264.1	91967	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935264.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170372	NeFa170372	MN935263.1	94911	31.57	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935263.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170364	NeFa170364	MN935262.1	93295	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935262.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170347	NeFa170347	MN935261.1	93346	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935261.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	170343	NeFa170343	MN935260.1	94865	31.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935260.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	160952	NeFa160952	MN935259.1	94865	31.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935259.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	160898	NeFa160898	MN935258.1	91964	31.6	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935258.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	160863	NeFa160863	MN935257.1	91964	31.6	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935257.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	160282	NeFa160282	MN935256.1	94995	31.52	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935256.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	160280	NeFa160280	MN935255.1	94934	31.59	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935255.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	160277	NeFa160277	MN935254.1	93296	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935254.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	160270	NeFa160270	MN935253.1	93294	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935253.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	160264	NeFa160264	MN935252.1	93296	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935252.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	160242	NeFa160242	MN935251.1	94863	31.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935251.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	160237	NeFa160237	MN935250.1	93294	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935250.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	160232	NeFa160232	MN935249.1	94923	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935249.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	160226	NeFa160226	MN935248.1	93291	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935248.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	160205	NeFa160205	MN935247.1	93294	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935247.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140027	NeFa140027	MN935246.1	90018	31.71	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935246.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140026	NeFa140026	MN935245.1	94916	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935245.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140025	NeFa140025	MN935244.1	94385	31.56	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935244.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140024	NeFa140024	MN935243.1	95036	31.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935243.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140023	NeFa140023	MN935242.1	93294	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935242.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140022	NeFa140022	MN935241.1	92019	31.63	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935241.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140021	NeFa140021	MN935240.1	94871	31.56	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935240.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140020	NeFa140020	MN935239.1	93296	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935239.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140019	NeFa140019	MN935238.1	94862	31.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935238.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140018	NeFa140018	MN935237.1	93347	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935237.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140017	NeFa140017	MN935236.1	89970	31.68	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935236.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140016	NeFa140016	MN935235.1	94864	31.55	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935235.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140015	NeFa140015	MN935234.1	92017	31.63	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935234.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140014	NeFa140014	MN935233.1	93296	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935233.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140013	NeFa140013	MN935232.1	93344	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935232.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140012	NeFa140012	MN935231.1	93294	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935231.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140011	NeFa140011	MN935230.1	94872	31.56	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935230.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140010	NeFa140010	MN935229.1	93353	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935229.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140009	NeFa140009	MN935228.1	93351	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935228.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140008	NeFa140008	MN935227.1	93299	31.59	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935227.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140007	NeFa140007	MN935226.1	93345	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935226.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140006	NeFa140006	MN935225.1	91963	31.6	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935225.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140005	NeFa140005	MN935224.1	96042	31.54	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935224.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140004	NeFa140004	MN935223.1	93346	31.61	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935223.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140003	NeFa140003	MN935222.1	93295	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935222.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140002	NeFa140002	MN935221.1	93293	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935221.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium asiaticum	140001	NeFa140001	MN935220.1	93296	31.58	Y	https://www.ncbi.nlm.nih.gov/nuccore/MN935220.1	Yang M, Zhang H, van der Lee TAJ, et al. Population Genomic Analysis Reveals a Highly Conserved Mitochondrial Genome in Fusarium asiaticum. Front Microbiol. 2020,11:839.	https://doi.org/10.3389/fmicb.2020.00839	 --
Fusarium austroamericanum	CBS110244	NeFaCBS110244	NC_063718.1	94278	31.72	Y	https://www.ncbi.nlm.nih.gov/nuccore/NC_063718.1	Wyrębek J, Molcan T, Myszczyński K, et al. Uncovering Diagnostic Value of Mitogenome for Identification of Cryptic Species Fusarium graminearum Sensu Stricto. Front Microbiol. 2021,12:714651.	https://doi.org/10.3389/fmicb.2021.714651	 --
Fusarium austroamericanum	CBS110246	NeFaCBS110246	MW182654.1	91374	31.87	Y	https://www.ncbi.nlm.nih.gov/nuccore/MW182654.1	Wyrębek J, Molcan T, Myszczyński K, et al. Uncovering Diagnostic Value of Mitogenome for Identification of Cryptic Species Fusarium graminearum Sensu Stricto. Front Microbiol. 2021,12:714651.	https://doi.org/10.3389/fmicb.2021.714651	 --
